Algorithm,ArrayType,Size,AvgTime(us),AvgComparisons,Iterations
QuickSort,Random,100,4.8208,753,5
MergeSort,Random,100,41.5954,603,5
QuickSort,Reverse,100,3.8152,938,5
MergeSort,Reverse,100,41.2426,590,5
QuickSort,NearlySorted,100,3.4462,930,5
MergeSort,NearlySorted,100,37.8382,808,5
QuickSort,Prefix,100,15.677,32653,5
MergeSort,Prefix,100,47.5218,27956,5
StringQuickSort,Random,100,5.6542,762,5
StringMergeSort,Random,100,52.5112,1047,5
MSDRadixSort,Random,100,35.1334,0,5
MSDRadixSort+QS,Random,100,9.9342,96,5
StringQuickSort,Reverse,100,3.4042,570,5
StringMergeSort,Reverse,100,45.9474,1368,5
MSDRadixSort,Reverse,100,26.1922,0,5
MSDRadixSort+QS,Reverse,100,12.2148,406,5
StringQuickSort,NearlySorted,100,3.8128,620,5
StringMergeSort,NearlySorted,100,65.2908,1370,5
MSDRadixSort,NearlySorted,100,30.2784,0,5
MSDRadixSort+QS,NearlySorted,100,11.8962,385,5
StringQuickSort,Prefix,100,13.8216,5655,5
StringMergeSort,Prefix,100,94.6394,29683,5
MSDRadixSort,Prefix,100,173.642,0,5
MSDRadixSort+QS,Prefix,100,159.003,97,5
QuickSort,Random,200,11.5772,1628,5
MergeSort,Random,200,99.4608,1516,5
QuickSort,Reverse,200,8.7302,2086,5
MergeSort,Reverse,200,93.5676,1314,5
QuickSort,NearlySorted,200,8.3174,2151,5
MergeSort,NearlySorted,200,87.7368,1790,5
QuickSort,Prefix,200,37.6558,79467,5
MergeSort,Prefix,200,119.233,65891,5
StringQuickSort,Random,200,11.5556,1560,5
StringMergeSort,Random,200,121.107,2552,5
MSDRadixSort,Random,200,70.9338,0,5
MSDRadixSort+QS,Random,200,21.572,326,5
StringQuickSort,Reverse,200,7.8746,1279,5
StringMergeSort,Reverse,200,108.898,3205,5
MSDRadixSort,Reverse,200,58.33,0,5
MSDRadixSort+QS,Reverse,200,26.6652,850,5
StringQuickSort,NearlySorted,200,8.592,1422,5
StringMergeSort,NearlySorted,200,130.658,3189,5
MSDRadixSort,NearlySorted,200,93.4054,0,5
MSDRadixSort+QS,NearlySorted,200,33.057,808,5
StringQuickSort,Prefix,200,31.0396,11739,5
StringMergeSort,Prefix,200,230.054,69756,5
MSDRadixSort,Prefix,200,316.212,0,5
MSDRadixSort+QS,Prefix,200,284.722,298,5
QuickSort,Random,300,19.9452,3194,5
MergeSort,Random,300,164.026,2540,5
QuickSort,Reverse,300,13.2906,3387,5
MergeSort,Reverse,300,149.022,2097,5
QuickSort,NearlySorted,300,12.8256,3310,5
MergeSort,NearlySorted,300,147.886,2923,5
QuickSort,Prefix,300,73.1616,158561,5
MergeSort,Prefix,300,196.612,107225,5
StringQuickSort,Random,300,23.145,2947,5
StringMergeSort,Random,300,202.253,4223,5
MSDRadixSort,Random,300,101.61,0,5
MSDRadixSort+QS,Random,300,35.9666,645,5
StringQuickSort,Reverse,300,12.5892,2070,5
StringMergeSort,Reverse,300,180.435,5211,5
MSDRadixSort,Reverse,300,85.2678,0,5
MSDRadixSort+QS,Reverse,300,39.2084,1298,5
StringQuickSort,NearlySorted,300,14.7094,2328,5
StringMergeSort,NearlySorted,300,182.246,5235,5
MSDRadixSort,NearlySorted,300,97.0498,0,5
MSDRadixSort+QS,NearlySorted,300,38.3272,1229,5
StringQuickSort,Prefix,300,49.167,17739,5
StringMergeSort,Prefix,300,363.351,113644,5
MSDRadixSort,Prefix,300,464.138,0,5
MSDRadixSort+QS,Prefix,300,454.675,602,5
QuickSort,Random,400,28.5228,4072,5
MergeSort,Random,400,231.553,3692,5
QuickSort,Reverse,400,18.9292,4623,5
MergeSort,Reverse,400,207.685,2838,5
QuickSort,NearlySorted,400,18.1076,4624,5
MergeSort,NearlySorted,400,205.794,4063,5
QuickSort,Prefix,400,156.037,190911,5
MergeSort,Prefix,400,273.267,152108,5
StringQuickSort,Random,400,30.0174,3524,5
StringMergeSort,Random,400,265.825,6086,5
MSDRadixSort,Random,400,124.21,0,5
MSDRadixSort+QS,Random,400,46.921,966,5
StringQuickSort,Reverse,400,18.0194,2945,5
StringMergeSort,Reverse,400,235.789,7325,5
MSDRadixSort,Reverse,400,118.938,0,5
MSDRadixSort+QS,Reverse,400,48.6182,1731,5
StringQuickSort,NearlySorted,400,19.7826,3009,5
StringMergeSort,NearlySorted,400,243.685,7302,5
MSDRadixSort,NearlySorted,400,145.558,0,5
MSDRadixSort+QS,NearlySorted,400,65.5776,1648,5
StringQuickSort,Prefix,400,83.7594,23345,5
StringMergeSort,Prefix,400,510.434,160473,5
MSDRadixSort,Prefix,400,594.031,0,5
MSDRadixSort+QS,Prefix,400,535.945,964,5
QuickSort,Random,500,44.2742,6796,5
MergeSort,Random,500,295.56,4895,5
QuickSort,Reverse,500,24.355,5928,5
MergeSort,Reverse,500,266.542,3747,5
QuickSort,NearlySorted,500,25.1326,6077,5
MergeSort,NearlySorted,500,269.814,5165,5
QuickSort,Prefix,500,134.77,241206,5
MergeSort,Prefix,500,617.983,196723,5
StringQuickSort,Random,500,42.2562,5266,5
StringMergeSort,Random,500,340.044,7989,5
MSDRadixSort,Random,500,141.899,0,5
MSDRadixSort+QS,Random,500,60.8086,1337,5
StringQuickSort,Reverse,500,22.548,3724,5
StringMergeSort,Reverse,500,345.457,9499,5
MSDRadixSort,Reverse,500,147.361,0,5
MSDRadixSort+QS,Reverse,500,56.5688,2158,5
StringQuickSort,NearlySorted,500,26.8798,4235,5
StringMergeSort,NearlySorted,500,309.305,9411,5
MSDRadixSort,NearlySorted,500,148.014,0,5
MSDRadixSort+QS,NearlySorted,500,57.2222,2077,5
StringQuickSort,Prefix,500,83.6232,29475,5
StringMergeSort,Prefix,500,660.689,207337,5
MSDRadixSort,Prefix,500,724.707,0,5
MSDRadixSort+QS,Prefix,500,665.471,1323,5
QuickSort,Random,600,56.034,7625,5
MergeSort,Random,600,366.743,6121,5
QuickSort,Reverse,600,29.9494,7304,5
MergeSort,Reverse,600,332.098,4472,5
QuickSort,NearlySorted,600,32.31,7720,5
MergeSort,NearlySorted,600,337.363,6525,5
QuickSort,Prefix,600,143.821,310346,5
MergeSort,Prefix,600,520.214,245051,5
StringQuickSort,Random,600,47.8146,5362,5
StringMergeSort,Random,600,417.944,10017,5
MSDRadixSort,Random,600,154.745,0,5
MSDRadixSort+QS,Random,600,67.363,1798,5
StringQuickSort,Reverse,600,30.326,4935,5
StringMergeSort,Reverse,600,398.276,11823,5
MSDRadixSort,Reverse,600,175.383,0,5
MSDRadixSort+QS,Reverse,600,68.2184,2618,5
StringQuickSort,NearlySorted,600,32.1214,4843,5
StringMergeSort,NearlySorted,600,399.415,11690,5
MSDRadixSort,NearlySorted,600,176.918,0,5
MSDRadixSort+QS,NearlySorted,600,72.3182,2452,5
StringQuickSort,Prefix,600,116.666,35836,5
StringMergeSort,Prefix,600,843.566,258805,5
MSDRadixSort,Prefix,600,876.977,0,5
MSDRadixSort+QS,Prefix,600,786.941,1778,5
QuickSort,Random,700,64.353,9080,5
MergeSort,Random,700,430.8,7456,5
QuickSort,Reverse,700,37.4714,8820,5
MergeSort,Reverse,700,464.044,5262,5
QuickSort,NearlySorted,700,42.8374,9575,5
MergeSort,NearlySorted,700,401.44,7876,5
QuickSort,Prefix,700,175.956,367606,5
MergeSort,Prefix,700,525.624,294897,5
StringQuickSort,Random,700,62.7864,7854,5
StringMergeSort,Random,700,500.369,12151,5
MSDRadixSort,Random,700,178.228,0,5
MSDRadixSort+QS,Random,700,80.9122,2186,5
StringQuickSort,Reverse,700,34.4598,5621,5
StringMergeSort,Reverse,700,475.127,14221,5
MSDRadixSort,Reverse,700,211.714,0,5
MSDRadixSort+QS,Reverse,700,79.251,3038,5
StringQuickSort,NearlySorted,700,39.2528,5871,5
StringMergeSort,NearlySorted,700,548.013,14116,5
