b,m,theoretical_error_104,theoretical_error_130,actual_error
4,16,0.26,0.325,0.298692
5,32,0.183848,0.22981,0.0677653
6,64,0.13,0.1625,0.0599874
7,128,0.0919239,0.114905,0.0483075
8,256,0.065,0.08125,0.0131295
9,512,0.0459619,0.0574524,0.0303555
10,1024,0.0325,0.040625,0.0541142
11,2048,0.022981,0.0287262,0.0519331
12,4096,0.01625,0.0203125,0.0225433
13,8192,0.0114905,0.0143631,0.00863289
14,16384,0.008125,0.0101563,0.00304143
15,32768,0.00574524,0.00718155,0.000299609
16,65536,0.0040625,0.00507813,0.00419544
