stream_id,time_point,percentage,exact,estimate,error_percent
0,10,0.1,100000,100928,0.927502
0,20,0.2,200000,203049,1.52442
0,30,0.3,300000,304957,1.65217
0,40,0.4,400000,411309,2.82714
0,50,0.5,500000,529728,5.94567
0,60,0.6,600000,623911,3.98522
0,70,0.7,700000,750486,7.21222
0,80,0.8,800000,854478,6.80981
0,90,0.9,900000,940310,4.47892
0,100,1,999999,1.05086e+06,5.0864
1,10,0.1,100000,97661.8,2.33818
1,20,0.2,200000,197073,1.46337
1,30,0.3,300000,306910,2.3032
1,40,0.4,400000,405758,1.43956
1,50,0.5,500000,511826,2.36517
1,60,0.6,600000,590188,1.63527
1,70,0.7,699999,695123,0.696555
1,80,0.8,799999,806236,0.779623
1,90,0.9,899999,909866,1.09632
1,100,1,999999,999725,0.0274166
2,10,0.1,100000,109411,9.41106
2,20,0.2,200000,210427,5.21343
2,30,0.3,300000,307242,2.41395
2,40,0.4,400000,406335,1.58375
2,50,0.5,500000,500674,0.134824
2,60,0.6,600000,599631,0.061428
2,70,0.7,700000,685146,2.12199
2,80,0.8,800000,780989,2.37644
2,90,0.9,900000,882193,1.9786
2,100,1,1000000,994200,0.579968
3,10,0.1,100000,103507,3.50735
3,20,0.2,200000,198075,0.962452
3,30,0.3,300000,299665,0.111818
3,40,0.4,400000,403341,0.835371
3,50,0.5,500000,496132,0.77366
3,60,0.6,600000,589867,1.68888
3,70,0.7,700000,682326,2.5249
3,80,0.8,800000,792636,0.920489
3,90,0.9,900000,908244,0.915983
3,100,1,1000000,1.00853e+06,0.852777
4,10,0.1,100000,102005,2.00462
4,20,0.2,200000,195888,2.05583
4,30,0.3,300000,301265,0.421672
4,40,0.4,400000,403834,0.958511
4,50,0.5,500000,487975,2.40497
4,60,0.6,600000,586145,2.30911
4,70,0.7,700000,685934,2.00943
4,80,0.8,800000,770361,3.70482
4,90,0.9,900000,870861,3.23772
4,100,1,1000000,959350,4.065
