percentage,exact_mean,exact_std,estimate_mean,estimate_std,error_mean,theoretical_error
0.1,100000,0,102702,3865.2,0.0363774,0.0325
0.2,200000,0,200902,5350.13,0.022439,0.0325
0.3,300000,0,304008,3038.63,0.0138056,0.0325
0.4,400000,0,406115,2829.98,0.0152887,0.0325
0.5,500000,0,505267,14456.4,0.0232486,0.0325
0.6,600000,0,597949,13724.1,0.0193598,0.0325
0.7,700000,0.4,699803,25703.1,0.0291302,0.0325
0.8,800000,0.4,800940,29313.8,0.0291824,0.0325
0.9,900000,0.4,902295,24207.9,0.0234151,0.0325
1,1e+06,0.489898,1.00253e+06,29372.8,0.0212231,0.0325
