N Area_Wide Area_Narrow Error_Wide Error_Narrow
100 0.694575 0.936000 0.249942 0.008517
600 1.041862 0.962400 0.097345 0.017883
1100 0.884005 0.933382 0.060513 0.011135
1600 0.917831 0.954900 0.026686 0.010383
2100 0.822150 0.951771 0.122367 0.007254
2600 0.973168 0.947631 0.028651 0.003114
3100 0.797001 0.929497 0.147516 0.015020
3600 0.964687 0.948800 0.020170 0.004283
4100 0.946268 0.919844 0.001750 0.024673
4600 1.054805 0.925983 0.110288 0.018535
5100 0.920263 0.955200 0.024254 0.010683
5600 0.990478 0.934971 0.045961 0.009546
6100 0.990623 0.934111 0.046106 0.010406
6600 0.929107 0.948655 0.015410 0.004137
7100 0.934951 0.953645 0.009566 0.009128
7600 0.949165 0.940168 0.004648 0.004349
8100 0.942025 0.934756 0.002492 0.009762
8600 0.957637 0.947386 0.013119 0.002869
9100 0.919194 0.942013 0.025323 0.002504
9600 0.952973 0.939900 0.008456 0.004617
10100 0.885166 0.948832 0.059352 0.004314
10600 0.971656 0.939260 0.027139 0.005257
11100 0.947554 0.939373 0.003037 0.005144
11600 0.906711 0.948538 0.037806 0.004021
12100 0.984870 0.942902 0.040352 0.001615
12600 0.933187 0.940229 0.011330 0.004289
13100 0.921808 0.937759 0.022709 0.006758
13600 0.990791 0.949447 0.046274 0.004930
14100 0.933137 0.951523 0.011380 0.007006
14600 0.946036 0.950696 0.001518 0.006179
15100 0.926538 0.944678 0.017979 0.000161
15600 0.966808 0.949385 0.022291 0.004867
16100 0.938632 0.946912 0.005886 0.002395
16600 0.951604 0.936434 0.007086 0.008083
17100 0.981225 0.944168 0.036708 0.000349
17600 0.947712 0.943036 0.003194 0.001481
18100 0.954424 0.942842 0.009907 0.001675
18600 0.942104 0.942890 0.002413 0.001627
19100 0.938741 0.942635 0.005776 0.001883
19600 0.953775 0.945771 0.009258 0.001254
20100 0.951770 0.945958 0.007253 0.001441
20600 0.943601 0.949631 0.000916 0.005114
21100 0.916068 0.947261 0.028449 0.002743
21600 0.948609 0.952667 0.004092 0.008149
22100 0.963066 0.946816 0.018549 0.002299
22600 0.958004 0.941034 0.013487 0.003484
23100 0.957457 0.939366 0.012940 0.005151
23600 0.946422 0.946251 0.001904 0.001734
24100 0.965900 0.946456 0.021383 0.001939
24600 0.927310 0.947298 0.017207 0.002780
25100 0.976833 0.941049 0.032315 0.003469
25600 0.928684 0.935887 0.015833 0.008630
26100 0.949671 0.937821 0.005154 0.006696
26600 0.950098 0.948126 0.005581 0.003609
27100 0.951608 0.943758 0.007091 0.000759
27600 0.942997 0.944922 0.001520 0.000405
28100 0.917743 0.949478 0.026774 0.004960
28600 0.958597 0.938115 0.014080 0.006403
29100 0.959516 0.937584 0.014999 0.006934
29600 1.004653 0.946995 0.060136 0.002477
30100 0.958955 0.947577 0.014438 0.003060
30600 0.935504 0.946494 0.009014 0.001977
31100 0.963535 0.943640 0.019018 0.000877
31600 0.955198 0.943929 0.010680 0.000588
32100 0.951447 0.945421 0.006930 0.000903
32600 0.948116 0.946115 0.003599 0.001598
33100 0.922703 0.941873 0.021815 0.002644
33600 0.940275 0.945086 0.004242 0.000569
34100 0.933181 0.945290 0.011337 0.000773
34600 0.943498 0.940578 0.001019 0.003939
35100 0.937125 0.939282 0.007392 0.005235
35600 0.946540 0.939560 0.002022 0.004958
36100 0.927658 0.944257 0.016860 0.000260
36600 0.935860 0.946151 0.008657 0.001634
37100 0.930201 0.942676 0.014316 0.001841
37600 0.949499 0.941974 0.004982 0.002543
38100 0.963081 0.946167 0.018564 0.001650
38600 0.960118 0.942790 0.015600 0.001728
39100 0.953423 0.948448 0.008906 0.003931
39600 0.963184 0.940218 0.018667 0.004299
40100 0.947710 0.942751 0.003193 0.001766
40600 0.930906 0.943165 0.013611 0.001353
41100 0.950001 0.947562 0.005484 0.003045
41600 0.946931 0.946938 0.002414 0.002421
42100 0.957839 0.944962 0.013322 0.000444
42600 0.941706 0.941408 0.002811 0.003109
43100 0.929170 0.939542 0.015348 0.004976
43600 0.943775 0.940690 0.000742 0.003827
44100 0.916875 0.942629 0.027642 0.001889
44600 0.946197 0.946429 0.001680 0.001912
45100 0.958368 0.946888 0.013851 0.002371
45600 0.931540 0.940389 0.012977 0.004128
46100 0.951139 0.948338 0.006622 0.003821
46600 0.943702 0.944930 0.000815 0.000413
47100 0.949695 0.943827 0.005178 0.000690
47600 0.947849 0.946982 0.003332 0.002464
48100 0.922731 0.943035 0.021787 0.001482
48600 0.951417 0.945126 0.006899 0.000609
49100 0.943951 0.944945 0.000566 0.000428
49600 0.951640 0.950835 0.007123 0.006318
50100 0.948678 0.944910 0.004161 0.000393
50600 0.945187 0.946757 0.000670 0.002240
51100 0.949337 0.944398 0.004819 0.000120
51600 0.954560 0.944958 0.010043 0.000441
52100 0.924259 0.942440 0.020258 0.002077
52600 0.949429 0.947197 0.004911 0.002680
53100 0.926847 0.946468 0.017670 0.001951
53600 0.954856 0.948412 0.010338 0.003895
54100 0.918886 0.942601 0.025631 0.001916
54600 0.954087 0.943912 0.009569 0.000605
55100 0.944168 0.942377 0.000349 0.002140
55600 0.928717 0.940014 0.015800 0.004503
56100 0.949978 0.943829 0.005460 0.000688
56600 0.948423 0.951698 0.003906 0.007180
57100 0.934731 0.948206 0.009786 0.003689
57600 0.934886 0.947100 0.009632 0.002583
58100 0.952116 0.944650 0.007599 0.000133
58600 0.942299 0.943397 0.002218 0.001121
59100 0.952291 0.941141 0.007774 0.003376
59600 0.937976 0.947984 0.006541 0.003467
60100 0.944701 0.943332 0.000184 0.001185
60600 0.922662 0.942867 0.021856 0.001650
61100 0.945804 0.941350 0.001287 0.003167
61600 0.960839 0.945912 0.016322 0.001395
62100 0.924023 0.941635 0.020494 0.002882
62600 0.955635 0.945822 0.011118 0.001305
63100 0.934539 0.939948 0.009978 0.004569
63600 0.942169 0.948770 0.002348 0.004253
64100 0.929712 0.941818 0.014805 0.002699
64600 0.941102 0.945853 0.003416 0.001335
